Age,Income,CreditScore,HouseholdSize,MedianHomeValue,MedianHouseholdIncome,Debt,LoanTerm,InterestRate,CreditIncidents,HomeValue,LoanAmount,ProductType,LoanStatus
80,15797,621,4,48600,30060,12321.66,420,0.041,3,97200,19440,3,1
80,43742,773,4,726500,63739,12247.76,180,0.043,0,1961550,1373085,4,1
62,38305,651,2,714000,82411,14938.95,420,0.037,0,1570800,471240,1,1
100,21145,633,1,250200,59358,19453.4,360,0.035,2,400320,160128,2,1
21,56070,698,4,547800,56716,24670.8,360,0.036,1,1314720,131472,1,1
49,48485,664,2,191100,45363,20848.55,420,0.038,2,477750,286650,2,1
48,10094,756,4,268300,59574,1816.92,180,0.045,3,509770,407816,2,1
64,141837,693,4,103900,38545,66663.39,360,0.037,1,197410,59223,1,1
24,16034,648,6,285000,46312,8979.04,360,0.036,3,456000,273600,2,1
26,55220,670,1,219300,81031,27057.8,480,0.042,0,504390,201756,2,1
87,569814,793,2,115700,11368,45585.12,480,0.043,1,312390,124956,2,1
27,373468,796,8,162400,48428,18673.4,480,0.041,6,422240,84448,2,0
99,476726,793,2,197200,87971,9534.52,420,0.045,0,512720,51272,2,1
18,202648,798,3,127800,62201,24317.76,420,0.04,4,319500,287550,3,1
28,35238,650,1,253800,49881,15857.1,480,0.04,3,558360,111672,3,1
24,51571,703,3,662200,99101,11861.33,480,0.04,4,1324400,132440,3,1
21,10153,663,3,448200,39409,5381.09,480,0.045,3,806760,161352,3,1
43,31476,642,1,107800,48720,29272.68,180,0.038,1,301840,150920,3,1
96,21277,633,3,273700,36791,16170.52,180,0.04,3,410550,328440,3,1
99,149741,751,3,197300,65393,17968.92,480,0.04,6,512980,153894,2,0
66,888307,787,3,714000,82411,8883.07,420,0.045,0,1856400,1113840,4,1
53,42685,642,2,348900,123851,37562.8,360,0.039,6,662910,198873,2,0
63,52522,690,3,443300,114257,27311.44,420,0.043,2,1241240,496496,3,1
47,728667,644,1,171200,33630,495493.56,360,0.042,3,445120,178048,2,1
31,323852,781,4,94700,44174,58293.36,360,0.041,1,255690,102276,2,1
47,25518,636,4,240000,51136,24752.46,180,0.042,1,360000,180000,2,1
28,17708,635,3,191100,45363,12572.68,420,0.043,3,286650,114660,3,1
28,482083,781,2,139200,58247,33745.81,360,0.037,4,403680,201840,1,1
57,54689,692,1,157100,41335,25156.94,480,0.04,0,329910,296919,2,1
72,47947,647,2,201000,76124,39796.01,360,0.045,1,462300,138690,3,1
75,33854,635,4,74300,17174,26067.58,360,0.036,4,163460,147114,3,0
24,23804,798,1,103900,38545,4046.68,420,0.041,3,166240,99744,2,1
77,23289,640,3,130200,41667,20960.1,180,0.036,0,221340,88536,3,1
66,25555,764,3,94700,44174,4344.35,360,0.04,2,160990,96594,2,1
44,477695,788,2,96600,36654,9553.9,180,0.037,3,270480,162288,1,1
77,27837,631,2,283900,80235,25053.3,420,0.035,2,454240,272544,2,0
66,11758,645,4,216600,44017,8113.02,360,0.041,4,433200,173280,3,0
71,24875,656,2,459400,75056,9701.25,420,0.041,3,780980,468588,2,1
18,274760,786,4,80800,33648,13738,420,0.04,4,226240,203616,2,1
20,698357,783,3,240700,60407,34917.85,420,0.041,4,673960,67396,3,1
24,37490,663,4,150100,37006,19869.7,480,0.041,2,360240,144096,2,1
98,57328,656,7,117100,37095,28664,180,0.039,5,304460,30446,3,0
98,144047,767,3,130200,41667,30249.87,360,0.04,2,351540,105462,2,1
97,49287,784,2,351000,71720,4928.7,480,0.036,0,737100,147420,1,1
52,861969,787,1,195200,55614,129295.35,360,0.043,0,546560,437248,2,1
36,26892,649,4,119500,43606,20437.92,480,0.035,3,203150,40630,3,1
29,51352,714,2,273700,36791,14378.56,480,0.037,4,520030,260015,1,1
26,473902,784,4,135900,44563,33173.14,360,0.038,6,380520,304416,2,0
84,23783,657,3,216600,44017,11653.67,480,0.038,3,368220,110466,2,1
73,153876,756,4,119400,43935,47701.56,420,0.045,1,286560,229248,2,1
39,31368,636,3,138000,51830,21330.24,360,0.044,1,372600,335340,2,1
94,57515,658,3,78200,32470,27607.2,180,0.041,4,164220,32844,2,1
22,24378,654,4,124500,37996,12189,420,0.038,0,224100,22410,3,1
39,79068,658,9,171200,33630,31627.2,480,0.043,4,376640,112992,3,1
60,52655,672,4,414600,61925,26327.5,420,0.039,5,1119420,335826,2,0
87,48218,761,1,448200,39409,11572.32,480,0.036,5,1210140,242028,1,1
66,20011,772,3,726500,63739,2601.43,480,0.035,4,1235050,494020,1,1
74,44250,639,1,272600,45224,37612.5,420,0.036,4,626980,250792,3,0
81,653739,646,10,137100,36600,372631.23,480,0.037,4,356460,106938,3,1
32,34810,664,4,547800,56716,17056.9,420,0.036,4,986040,788832,1,1
95,25366,643,1,197200,87971,16995.22,360,0.042,0,394400,276080,2,0
24,19296,632,1,385100,84905,17173.44,420,0.039,1,731690,146338,2,0
64,17133,642,3,81000,39854,10451.13,180,0.038,4,145800,58320,2,1
62,52793,682,4,330300,82746,27452.36,480,0.04,1,759690,303876,2,1
85,39097,664,1,88300,35337,15247.83,180,0.044,0,229580,68874,2,1
89,15134,660,3,714000,82411,6961.64,180,0.042,3,1356600,813960,4,1
59,96272,691,4,127800,62201,48136,360,0.039,1,281160,28116,3,1
92,34939,669,3,257500,52032,15023.77,420,0.044,1,489250,391400,2,1
72,27520,642,2,160100,49333,26694.4,180,0.042,0,320200,256160,2,1
57,15030,626,3,448200,39409,11422.8,360,0.036,3,672300,470610,3,1
33,11976,642,3,80800,33648,11377.2,360,0.035,4,161600,32320,2,0
59,14387,632,1,79400,29156,9351.55,180,0.039,3,127040,63520,2,1
69,441500,781,1,347800,69495,52980,360,0.035,1,939060,187812,1,1
45,872462,788,2,240700,60407,69796.96,360,0.041,0,698030,558424,2,1
53,27713,646,4,74300,17174,26327.35,360,0.044,6,141170,127053,2,0
61,694694,661,3,122800,58366,270930.66,420,0.041,3,307000,214900,2,1
34,54059,716,1,127300,45059,8108.85,420,0.042,3,280060,224048,2,1
53,19592,627,3,242500,73424,12147.04,420,0.039,5,412250,123675,3,0
99,33304,653,1,202100,61672,13321.6,420,0.043,2,404200,161680,3,1
75,883227,795,1,459400,75056,150148.59,360,0.04,4,1378200,826920,4,1
67,12717,630,2,482700,47368,8774.73,180,0.042,5,917130,550278,3,0
77,55256,712,1,197300,65393,14919.12,360,0.035,0,453790,408411,1,1
34,12577,641,1,137100,36600,7671.97,180,0.038,3,233070,69921,3,1
70,45075,663,1,268300,59574,21636,360,0.042,2,670750,536600,2,1
92,29281,642,4,219300,81031,17568.6,360,0.045,0,526320,210528,3,1
38,477803,785,3,157100,41335,76448.48,420,0.037,3,424170,339336,1,1
39,136124,681,4,127800,62201,65339.52,180,0.04,4,255600,204480,3,1
96,39236,798,4,230700,35336,2746.52,480,0.035,4,438330,350664,1,1
86,443298,792,3,403400,127348,57628.74,360,0.043,3,1210200,484080,2,1
59,138142,754,1,157100,41335,40061.18,420,0.044,4,392750,274925,3,1
87,44457,644,4,325800,53798,30675.33,180,0.041,6,879660,87966,2,0
45,51497,705,2,743200,99412,13904.19,480,0.038,3,1635040,327008,2,1
47,28777,662,2,443300,114257,15539.58,480,0.036,4,842270,336908,1,1
28,49498,643,3,223100,67956,30688.76,480,0.042,2,490820,147246,2,1
58,16737,664,2,347800,69495,7699.02,360,0.037,2,521700,208680,1,1
78,15905,628,3,195000,51179,11133.5,480,0.038,1,351000,175500,2,1
43,42851,662,4,257500,52032,17568.91,420,0.035,5,695250,625725,1,0
39,39204,622,4,219500,59422,38027.88,420,0.039,4,482900,96580,2,0
24,48803,623,4,219300,81031,28793.77,420,0.039,1,548250,164475,3,1
83,28175,656,2,74300,17174,14932.75,360,0.04,1,141170,98819,2,1
84,38850,647,4,125200,45048,24864,360,0.037,4,338040,135216,3,1
74,390357,790,3,80800,33648,3903.57,480,0.036,5,218160,43632,1,1
58,812736,798,4,201000,76124,73146.24,360,0.036,0,562800,56280,1,1
33,46162,632,2,273700,36791,38314.46,180,0.042,5,492660,344862,2,0
47,33873,628,3,326800,85354,32856.81,420,0.04,6,817000,326800,2,0
77,546322,780,1,90000,25465,43705.76,480,0.043,5,243000,145800,2,1
33,58617,700,4,144500,31865,11137.23,360,0.041,2,361250,289000,3,1
71,54003,670,2,122800,58366,24841.38,180,0.037,1,270160,162096,1,1
71,21858,794,3,546300,52445,218.58,180,0.036,1,1037970,830376,4,1
72,380035,781,3,325800,53798,38003.5,480,0.035,6,847080,508248,1,0
71,633064,787,3,443300,114257,120282.16,180,0.041,2,1241240,248248,2,1
61,27286,753,1,347800,69495,7367.22,480,0.038,3,521700,469530,2,1
96,20061,644,1,403400,127348,12036.6,480,0.045,3,726120,653508,2,0
23,339141,781,9,304400,55698,47479.74,480,0.035,0,791440,158288,1,1
52,11294,634,4,240000,51136,8809.32,480,0.043,2,384000,230400,3,1
42,12813,625,2,119700,48302,8200.32,180,0.036,3,215460,129276,2,1
55,28120,646,2,202100,61672,15747.2,180,0.035,6,363780,109134,3,0
20,55921,723,10,119400,43935,17335.51,180,0.036,3,322380,128952,1,1
54,121025,774,2,547800,56716,27835.75,480,0.037,3,1369500,1232550,4,1
22,122943,771,2,114700,39503,38112.33,180,0.039,5,275280,165168,2,1
30,120027,757,4,420600,47358,20404.59,360,0.038,2,1051500,841200,4,1
18,36321,763,1,357100,67482,9443.46,480,0.043,6,785620,157124,2,0
18,37140,630,2,217400,75365,21541.2,360,0.044,1,456540,136962,2,1
64,13269,660,2,137800,23494,6767.19,480,0.036,1,248040,74412,1,1
55,50032,727,2,155600,28949,15509.92,360,0.038,4,311200,155600,2,1
66,17325,623,3,255000,56444,16805.25,360,0.041,4,408000,367200,3,0
57,49872,660,3,374600,88480,22941.12,420,0.043,0,973960,389584,3,1
45,111282,775,1,197200,87971,32271.78,480,0.037,1,512720,358904,1,1
61,24827,659,4,125200,45048,10179.07,360,0.035,0,212840,170272,1,1
98,48680,782,4,218200,54758,1947.2,480,0.043,0,567320,283660,2,1
60,43223,765,3,178600,64930,10373.52,420,0.036,3,375060,337554,1,1
27,48228,640,1,726500,63739,34241.88,360,0.036,3,1380350,966245,4,0
65,654234,787,1,151500,56696,65423.4,360,0.044,5,409050,122715,3,1
45,30647,627,2,138000,51830,24517.6,360,0.042,4,358800,251160,2,0
42,23529,664,1,144500,31865,11764.5,360,0.045,4,231200,138720,2,1
39,56125,746,3,114700,39503,7857.5,420,0.043,2,275280,192696,2,1
25,105821,762,4,299400,87288,32804.51,420,0.043,4,778440,622752,3,1
